epoch,train_loss,train_acc,val_loss,val_acc,saved_best
1,0.732520,75.43,1.020411,72.33,yes
2,0.397977,87.93,0.205315,92.33,yes
3,0.265421,91.21,0.297948,90.67,no
4,0.317425,89.71,0.578965,84.67,no
5,0.241616,92.93,0.222583,92.33,no
6,0.157691,93.93,0.203803,93.33,yes
7,0.093740,97.43,0.232222,94.67,no
8,0.110337,96.43,0.269713,93.33,no
9,0.125231,95.93,0.280377,91.33,no
10,0.121688,95.57,0.322149,90.67,no
11,0.077485,97.64,0.104068,97.00,yes
12,0.103696,97.00,0.382461,88.00,no
13,0.149164,95.64,0.233131,93.67,no
14,0.097663,96.71,0.142246,96.00,no
15,0.068237,98.14,0.182373,95.67,no
16,0.089295,97.21,0.136039,95.00,no
